City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,hermanus,-34.4187,19.2345,13.22,75,94,6.02,ZA,1730846915
274,meadow lake,34.8014,-106.5436,12.1,41,23,3.94,US,1730846916
275,nuku'alofa,-21.1333,-175.2,25.19,83,75,5.66,TO,1730846917
276,aykhal,66.0,111.5,-7.37,95,100,2.73,RU,1730846920
277,ribadesella,43.4614,-5.0596,17.21,73,2,1.86,ES,1730846921
278,kavaratti,10.5669,72.642,27.49,75,9,1.97,IN,1730846922
279,sanger,36.708,-119.556,20.56,43,0,1.54,US,1730846923
280,bardai,11.65,7.2333,19.59,27,1,3.63,NG,1730846924
281,o rosal,41.9354,-8.8368,15.87,91,100,2.73,ES,1730846925
282,valencia,39.3333,-0.8333,15.23,74,42,1.14,ES,1730846926
283,kamina,-8.7386,24.9906,17.98,95,85,1.19,CD,1730846927
284,le mars,42.7942,-96.1656,7.91,81,0,2.57,US,1730846929
285,palu,-0.8917,119.8707,25.44,91,100,1.29,ID,1730846930
286,kapa'a,22.0752,-159.319,28.18,85,20,4.12,US,1730846931
287,yuzhno-kurilsk,44.0306,145.8556,5.81,66,100,0.91,RU,1730846932
288,akrehamn,59.2667,5.1833,8.14,87,75,5.14,NO,1730846933
289,asha,54.9973,57.2722,-0.85,91,100,3.33,RU,1730846934
290,yeppoon,-23.1333,150.7333,25.95,57,0,5.19,AU,1730846935
291,keflavik,64.0049,-22.5624,9.24,100,100,10.8,IS,1730846936
292,ingeniero jacobacci,-41.3427,-69.5448,11.33,45,100,10.95,AR,1730846938
293,buala,-8.145,159.5921,27.81,81,99,4.22,SB,1730846939
294,fortuna,40.5982,-124.1573,15.52,63,0,9.26,US,1730846940
295,mucumpiz,8.4167,-71.1333,15.38,96,80,1.31,VE,1730846941
296,tazovsky,67.4667,78.7,-5.57,93,95,7.43,RU,1730846942
297,bredasdorp,-34.5322,20.0403,12.31,79,94,2.97,ZA,1730846943
298,xiaoweizhai,26.1903,107.5125,11.25,77,1,1.54,CN,1730846944
299,dzuunharaa,48.8523,106.4579,-5.7,70,14,1.26,MN,1730846945
300,haiku-pauwela,20.9219,-156.3051,29.01,76,98,9.39,US,1730846947
301,iskateley,67.6803,53.1512,-4.33,94,50,4.53,RU,1730846948
302,alofi,-19.0595,-169.9187,24.94,78,100,6.17,NU,1730846949
303,miguel ahumada,30.6167,-106.5167,18.83,11,0,2.83,MX,1730846951
304,howrah,22.5892,88.3103,25.0,88,40,2.06,IN,1730846952
305,minchianabad,30.163,73.5685,22.64,29,0,2.05,PK,1730846953
306,shakawe,-18.3667,21.85,23.27,55,68,1.48,BW,1730846955
307,iskushuban,10.2837,50.23,23.32,79,32,2.48,SO,1730846956
308,siwa oasis,29.2041,25.5195,20.96,59,99,4.25,EG,1730846957
309,guayaramerin,-10.8368,-65.3614,29.91,49,75,1.15,BO,1730846958
310,darab,28.7519,54.5444,19.18,36,0,0.92,IR,1730846959
311,jinghong,21.991,100.7341,17.79,98,95,0.28,CN,1730846960
312,sanctuary point,-35.1114,150.629,23.81,55,14,4.94,AU,1730846961
313,altay,47.8667,88.1167,6.52,76,100,3.83,CN,1730846963
314,pekalongan,-6.8886,109.6753,25.88,84,100,1.47,ID,1730846964
315,sainte-anne-des-monts,49.124,-66.4924,5.93,100,100,1.03,CA,1730846965
316,betio village,1.358,172.9211,31.02,74,25,4.87,KI,1730846966
317,swakopmund,-22.6833,14.5333,13.88,83,4,3.13,NA,1730846967
318,namibe,-15.1961,12.1522,20.04,84,93,2.86,AO,1730846968
319,panacan,9.2463,118.4082,26.47,82,61,1.41,PH,1730846969
320,ierapetra,35.01,25.7353,17.86,60,0,4.47,GR,1730846970
321,puerto deseado,-47.7503,-65.8938,16.04,39,72,11.86,AR,1730846972
322,ulety,51.3572,112.4849,-6.42,58,71,1.44,RU,1730846973
323,salinas,36.6777,-121.6555,21.7,63,0,1.54,US,1730846974
324,wotho,10.1657,166.0102,28.68,79,27,7.99,MH,1730846975
325,remire-montjoly,4.9167,-52.2667,28.02,78,0,2.06,GF,1730846976
326,damboa,11.156,12.7576,22.05,33,38,2.48,NG,1730846977
327,live oak,36.9836,-121.9805,22.97,33,0,2.57,US,1730846978
328,banket,-17.3833,30.4,23.69,40,57,2.04,ZW,1730846979
329,inirida,3.8653,-67.9239,28.15,71,95,2.04,CO,1730846980
330,kiunga,-6.1219,141.2906,26.04,91,100,0.75,PG,1730846982
331,thurso,58.5927,-3.5259,8.14,82,30,3.74,GB,1730846983
332,corner brook,48.9667,-57.9484,3.96,98,100,2.48,CA,1730846984
333,melo,-32.3667,-54.1833,15.45,69,100,5.13,UY,1730846985
334,natal,-5.795,-35.2094,26.12,73,20,4.63,BR,1730846986
335,luderitz,-26.6481,15.1594,20.44,34,49,5.56,NA,1730846987
336,lexington,37.9887,-84.4777,24.0,61,100,6.69,US,1730846954
337,cill airne,52.05,-9.5167,14.2,99,100,1.64,IE,1730846990
338,tete,-16.1564,33.5867,29.59,40,3,2.32,MZ,1730846991
339,smithers,54.7804,-127.1743,1.18,80,100,2.57,CA,1730846703
340,coronel suarez,-37.4547,-61.9334,16.24,52,0,3.96,AR,1730846993
341,gemena,3.25,19.7667,22.22,90,14,0.9,CD,1730846994
342,nuuk,64.1835,-51.7216,-6.66,73,0,5.14,GL,1730846995
343,akureyri,65.6835,-18.0878,6.96,81,20,1.03,IS,1730846996
344,parkent,41.2944,69.6764,14.89,82,100,1.34,UZ,1730846997
345,tsiombe,-25.3,45.4833,21.93,89,4,2.97,MG,1730846999
346,turuntayevo,52.2,107.6167,-7.0,91,98,0.61,RU,1730847001
347,midvagur,62.0511,-7.1939,9.46,93,100,8.75,FO,1730847002
348,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1730847003
349,cockburn town,21.4612,-71.1419,28.22,82,11,9.71,TC,1730847004
